Your Estimate,,,,
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$361.79 
,Compute:,US East (N. Virginia),$361.79 ,
,Reserved Instances (one-time fee):,US East (N. Virginia),$0 ,
Amazon S3 Service (US East (N. Virginia)),,,,$23.58 
,S3 Standard Storage:,US East (N. Virginia),$23.56 ,
,S3 Standard Put Requests:,US East (N. Virginia),$0.01 ,
,S3 Standard Other Requests:,US East (N. Virginia),$0.01 ,
Amazon CloudFront Service,,,,$0.29 
,Data Transfer Out:,Global,$0.14 ,
,Data Transfer Out to Origin:,Global,$0.09 ,
,Requests:,Global,$0.06 ,
Amazon RDS Service (US East (N. Virginia)),,,,"$1,388.10 "
,DB instances:,US East (N. Virginia),"$1,383.48 ",
,Storage:,US East (N. Virginia),$4.60 ,
,Inter-Region Data Transfer Out:,US East (N. Virginia),$0.02 ,
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$33.88 
,Application LBs:,US East (N. Virginia),$33.88 ,
AWS Data Transfer In,,,,$0 
,US East (N. Virginia) Region:,Global,$0 ,
AWS Data Transfer Out,,,,$0 
,US East (N. Virginia) Region:,Global,$0 ,
AWS Support (Business),,,,$178.08 
,Support for all AWS services:,,$178.08 ,
,,Free Tier Discount:,,($26.84)
,,Total Monthly Payment:,,"$1,958.88 "
,,,,
,,Total Yearly Cost,,"$23,506.56 "
