Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$1932.48
,Compute:,US East (N. Virginia),$1686.64
,EBS Volumes:,US East (N. Virginia),$160
,EBS IOPS:,US East (N. Virginia),$0
,EBS Snapshots:,US East (N. Virginia),$82.24
,Elastic IPs:,US East (N. Virginia),$3.6
Amazon S3 Service (US East (N. Virginia)),,,,$5175.92
,S3 Standard Storage:,US East (N. Virginia),$3430.4
,S3 Standard Put Requests:,US East (N. Virginia),$0.1
,S3 Standard Other Requests:,US East (N. Virginia),$0.01
,S3 Standard Select Data Returned:,US East (N. Virginia),$14.34
,S3 Standard Select Data Scanned:,US East (N. Virginia),$40.96
,S3 Standard - IA Storage:,US East (N. Virginia),$1280
,S3 Standard - IA Other Requests:,US East (N. Virginia),$0.01
,S3 Standard – IA Lifecycle Transitions:,US East (N. Virginia),$0.02
,S3 Standard – IA Data Retrieval:,US East (N. Virginia),$0.2
,S3 Standard - IA Data Returned:,US East (N. Virginia),$0.2
,S3 Standard - IA Data Scanned:,US East (N. Virginia),$0.04
,S3 Glacier - Storage:,US East (N. Virginia),$409.6
,S3 Glacier - Data Retrieval (Standard):,US East (N. Virginia),$0
,S3 Glacier - Data Retrieval (Expedited):,US East (N. Virginia),$0.03
,S3 Glacier - Data Retrieval (Bulk):,US East (N. Virginia),$0.01
Amazon CloudFront Service,,,,$1032.19
,Data Transfer Out:,Global,$4.25
,Data Transfer Out to Origin:,Global,$1024
,Requests:,Global,$3.94
Amazon RDS Service (US East (N. Virginia)),,,,$694.2
,DB instances:,US East (N. Virginia),$601.72
,Storage:,US East (N. Virginia),$92
,Backups:,US East (N. Virginia),$0.48
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$501.42
,Application LBs:,US East (N. Virginia),$501.42
Amazon CloudWatch Service (US East (N. Virginia)),,,,$49.01
,Standard Alarms:,US East (N. Virginia),$49
,Dashboard:,US East (N. Virginia),$0
,Custom events:,US East (N. Virginia),$0.01
Amazon SNS Service (US East (N. Virginia)),,,,$0
,Requests:,US East (N. Virginia),$0
,Notifications:,US East (N. Virginia),$0
Amazon VPC Service (US East (N. Virginia)),,,,$71.63
,VPN Connection:,US East (N. Virginia),$36.6
,NAT Gateway,US East (N. Virginia),$33.03
,Inter - Region Data Transfer Out:,US East (N. Virginia),$2
AWS Data Transfer In,,,,$0
,US East (N. Virginia) Region:,Global,$0
AWS Data Transfer Out,,,,$0
,US East (N. Virginia) Region:,Global,$0
AWS Support (Business),,,,$934.09
,Support for all AWS services:,,$934.09
,,Free Tier Discount:,,$-115.96
,,Total Monthly Payment:,,$10274.98
